quarter_second,FHR,UC,second,minute
0,146.75,30.0,0,0
1,146.0,30.5,0,0
2,147.0,31.0,0,0
3,147.0,31.5,0,0
4,146.25,29.5,1,0
5,146.0,28.0,1,0
6,146.0,27.5,1,0
7,145.5,28.0,1,0
8,145.5,27.0,2,0
9,147.0,26.0,2,0
10,147.25,26.0,2,0
11,147.25,26.0,2,0
12,148.0,25.5,3,0
13,148.0,25.0,3,0
14,147.25,24.5,3,0
15,146.5,23.0,3,0
16,146.5,22.5,4,0
17,146.5,22.5,4,0
18,146.75,21.5,4,0
19,146.75,21.5,4,0
20,147.75,21.0,5,0
21,147.75,20.5,5,0
22,148.0,21.0,5,0
23,147.5,20.0,5,0
24,147.5,19.5,6,0
25,147.25,19.0,6,0
26,147.25,18.5,6,0
27,147.25,18.5,6,0
28,147.25,19.0,7,0
29,147.25,20.0,7,0
30,148.0,21.0,7,0
31,148.5,21.5,7,0
32,148.5,21.0,8,0
33,148.5,21.0,8,0
34,148.5,21.0,8,0
35,148.5,22.5,8,0
36,149.5,23.5,9,0
37,149.5,25.0,9,0
38,150.25,26.0,9,0
39,149.0,25.5,9,0
40,149.0,26.5,10,0
41,148.75,28.5,10,0
42,148.75,29.5,10,0
43,149.5,30.0,10,0
44,150.0,29.0,11,0
45,150.0,27.5,11,0
46,149.5,26.0,11,0
47,149.5,25.0,11,0
48,149.5,24.5,12,0
49,150.25,24.5,12,0
50,150.25,24.5,12,0
51,150.75,24.5,12,0
52,150.25,24.0,13,0
53,150.25,22.0,13,0
54,149.5,20.0,13,0
55,149.5,19.0,13,0
56,149.5,19.0,14,0
57,151.0,20.0,14,0
58,151.0,21.0,14,0
59,151.25,21.5,14,0
60,151.5,22.0,15,0
61,151.5,21.0,15,0
62,151.5,20.0,15,0
63,150.5,19.5,15,0
64,150.5,20.0,16,0
65,150.0,21.0,16,0
66,150.0,21.5,16,0
67,150.0,22.5,16,0
68,150.75,23.0,17,0
69,150.75,22.5,17,0
70,151.25,22.5,17,0
71,151.5,21.5,17,0
72,151.5,20.5,18,0
73,151.5,20.5,18,0
74,151.5,21.5,18,0
75,151.5,22.5,18,0
76,151.75,23.5,19,0
77,151.75,24.0,19,0
78,151.5,23.5,19,0
79,151.0,23.0,19,0
80,151.0,22.0,20,0
81,150.5,21.5,20,0
82,150.5,21.0,20,0
83,150.5,22.0,20,0
84,149.75,23.5,21,0
85,149.75,24.5,21,0
86,149.0,24.5,21,0
87,149.75,23.5,21,0
88,149.75,22.5,22,0
89,150.5,21.5,22,0
90,150.5,21.0,22,0
91,150.5,22.0,22,0
92,150.25,23.0,23,0
93,150.25,24.0,23,0
94,150.25,24.5,23,0
95,151.5,24.0,23,0
96,151.5,22.5,24,0
97,152.0,21.5,24,0
98,152.0,21.0,24,0
99,152.0,21.0,24,0
100,150.75,22.0,25,0
101,151.0,23.0,25,0
102,151.0,23.5,25,0
103,151.5,24.0,25,0
104,151.5,23.0,26,0
105,152.0,21.0,26,0
106,152.25,20.5,26,0
107,152.25,21.0,26,0
108,152.5,21.5,27,0
109,152.5,22.5,27,0
110,152.5,23.0,27,0
111,152.5,23.0,27,0
112,152.25,22.5,28,0
113,152.25,21.0,28,0
114,152.5,20.5,28,0
115,153.25,21.0,28,0
116,0.0,0.0,29,0
117,0.0,0.0,29,0
118,0.0,0.0,29,0
119,0.0,0.0,29,0
120,0.0,0.0,30,0
121,0.0,0.0,30,0
122,0.0,0.0,30,0
123,0.0,0.0,30,0
124,0.0,0.0,31,0
125,0.0,0.0,31,0
126,0.0,0.0,31,0
127,0.0,0.0,31,0
128,0.0,0.0,32,0
129,0.0,0.0,32,0
130,0.0,0.0,32,0
131,0.0,0.0,32,0
132,0.0,0.0,33,0
133,0.0,0.0,33,0
134,0.0,0.0,33,0
135,0.0,0.0,33,0
136,0.0,0.0,34,0
137,0.0,0.0,34,0
138,0.0,0.0,34,0
139,0.0,0.0,34,0
140,0.0,0.0,35,0
141,0.0,0.0,35,0
142,0.0,0.0,35,0
143,0.0,0.0,35,0
144,0.0,0.0,36,0
145,0.0,0.0,36,0
146,0.0,0.0,36,0
147,0.0,0.0,36,0
148,0.0,0.0,37,0
149,0.0,0.0,37,0
150,0.0,0.0,37,0
151,0.0,0.0,37,0
152,0.0,0.0,38,0
153,0.0,0.0,38,0
154,0.0,0.0,38,0
155,0.0,0.0,38,0
156,0.0,0.0,39,0
157,0.0,0.0,39,0
158,0.0,0.0,39,0
159,0.0,0.0,39,0
160,0.0,0.0,40,0
161,0.0,0.0,40,0
162,0.0,0.0,40,0
163,0.0,0.0,40,0
164,0.0,0.0,41,0
165,0.0,0.0,41,0
166,0.0,0.0,41,0
167,0.0,0.0,41,0
168,0.0,0.0,42,0
169,0.0,0.0,42,0
170,0.0,0.0,42,0
171,0.0,0.0,42,0
172,0.0,0.0,43,0
173,0.0,0.0,43,0
174,0.0,0.0,43,0
175,0.0,0.0,43,0
176,0.0,0.0,44,0
177,0.0,0.0,44,0
178,0.0,0.0,44,0
179,0.0,0.0,44,0
180,0.0,0.0,45,0
181,0.0,0.0,45,0
182,0.0,0.0,45,0
183,0.0,0.0,45,0
184,0.0,0.0,46,0
185,0.0,0.0,46,0
186,0.0,0.0,46,0
187,0.0,0.0,46,0
188,0.0,0.0,47,0
189,0.0,0.0,47,0
190,0.0,0.0,47,0
191,0.0,0.0,47,0
192,0.0,0.0,48,0
193,0.0,0.0,48,0
194,0.0,0.0,48,0
195,0.0,0.0,48,0
196,0.0,0.0,49,0
197,0.0,0.0,49,0
198,0.0,0.0,49,0
199,0.0,0.0,49,0
200,0.0,0.0,50,0
201,0.0,0.0,50,0
202,0.0,0.0,50,0
203,0.0,0.0,50,0
204,0.0,0.0,51,0
205,0.0,0.0,51,0
206,0.0,0.0,51,0
207,0.0,0.0,51,0
208,0.0,0.0,52,0
209,0.0,0.0,52,0
210,0.0,0.0,52,0
211,0.0,0.0,52,0
212,0.0,0.0,53,0
213,0.0,0.0,53,0
214,0.0,0.0,53,0
215,0.0,0.0,53,0
216,0.0,0.0,54,0
217,0.0,0.0,54,0
218,0.0,0.0,54,0
219,0.0,0.0,54,0
220,0.0,0.0,55,0
221,0.0,0.0,55,0
222,0.0,0.0,55,0
223,0.0,0.0,55,0
224,0.0,0.0,56,0
225,0.0,0.0,56,0
226,0.0,0.0,56,0
227,0.0,0.0,56,0
228,0.0,0.0,57,0
229,0.0,0.0,57,0
230,0.0,0.0,57,0
231,0.0,0.0,57,0
232,0.0,0.0,58,0
233,0.0,0.0,58,0
234,0.0,0.0,58,0
235,0.0,0.0,58,0
236,0.0,0.0,59,0
237,0.0,0.0,59,0
238,0.0,0.0,59,0
239,0.0,0.0,59,0
240,0.0,0.0,60,1
241,0.0,0.0,60,1
242,0.0,0.0,60,1
243,0.0,0.0,60,1
244,0.0,0.0,61,1
245,0.0,0.0,61,1
246,0.0,0.0,61,1
247,0.0,0.0,61,1
248,0.0,0.0,62,1
249,0.0,0.0,62,1
250,0.0,0.0,62,1
251,0.0,0.0,62,1
252,0.0,0.0,63,1
253,0.0,0.0,63,1
254,0.0,0.0,63,1
255,0.0,0.0,63,1
256,0.0,0.0,64,1
257,0.0,0.0,64,1
258,0.0,0.0,64,1
259,0.0,0.0,64,1
260,0.0,0.0,65,1
261,0.0,0.0,65,1
262,0.0,0.0,65,1
263,0.0,0.0,65,1
264,0.0,0.0,66,1
265,0.0,0.0,66,1
266,0.0,0.0,66,1
267,0.0,0.0,66,1
268,0.0,0.0,67,1
269,0.0,0.0,67,1
270,0.0,0.0,67,1
271,0.0,0.0,67,1
272,0.0,0.0,68,1
273,0.0,0.0,68,1
274,0.0,0.0,68,1
275,0.0,0.0,68,1
276,0.0,0.0,69,1
277,0.0,0.0,69,1
278,0.0,0.0,69,1
279,0.0,0.0,69,1
280,0.0,0.0,70,1
281,0.0,0.0,70,1
282,0.0,0.0,70,1
283,0.0,0.0,70,1
284,0.0,0.0,71,1
285,0.0,0.0,71,1
286,0.0,0.0,71,1
287,0.0,0.0,71,1
288,0.0,0.0,72,1
289,0.0,0.0,72,1
290,0.0,0.0,72,1
291,0.0,0.0,72,1
292,0.0,0.0,73,1
293,0.0,0.0,73,1
294,0.0,0.0,73,1
295,0.0,0.0,73,1
296,0.0,0.0,74,1
297,0.0,0.0,74,1
298,0.0,0.0,74,1
299,0.0,0.0,74,1
300,0.0,0.0,75,1
301,0.0,0.0,75,1
302,0.0,0.0,75,1
303,0.0,0.0,75,1
304,0.0,0.0,76,1
305,0.0,0.0,76,1
306,0.0,0.0,76,1
307,0.0,0.0,76,1
308,0.0,0.0,77,1
309,0.0,0.0,77,1
310,0.0,0.0,77,1
311,0.0,0.0,77,1
312,0.0,0.0,78,1
313,0.0,0.0,78,1
314,0.0,0.0,78,1
315,0.0,0.0,78,1
316,0.0,0.0,79,1
317,0.0,0.0,79,1
318,0.0,0.0,79,1
319,0.0,0.0,79,1
320,0.0,0.0,80,1
321,0.0,0.0,80,1
322,0.0,0.0,80,1
323,0.0,0.0,80,1
324,0.0,0.0,81,1
325,0.0,0.0,81,1
326,0.0,0.0,81,1
327,0.0,0.0,81,1
328,0.0,0.0,82,1
329,0.0,0.0,82,1
330,0.0,0.0,82,1
331,0.0,0.0,82,1
332,0.0,0.0,83,1
333,0.0,0.0,83,1
334,0.0,0.0,83,1
335,0.0,0.0,83,1
336,0.0,0.0,84,1
337,0.0,0.0,84,1
338,0.0,0.0,84,1
339,0.0,0.0,84,1
340,0.0,0.0,85,1
341,0.0,0.0,85,1
342,0.0,0.0,85,1
343,0.0,0.0,85,1
344,0.0,0.0,86,1
345,0.0,0.0,86,1
346,0.0,0.0,86,1
347,0.0,0.0,86,1
348,0.0,0.0,87,1
349,0.0,0.0,87,1
350,0.0,0.0,87,1
351,0.0,0.0,87,1
352,0.0,0.0,88,1
353,0.0,0.0,88,1
354,0.0,0.0,88,1
355,0.0,0.0,88,1
356,0.0,0.0,89,1
357,0.0,0.0,89,1
358,0.0,0.0,89,1
359,0.0,0.0,89,1
360,0.0,0.0,90,1
361,0.0,0.0,90,1
362,0.0,0.0,90,1
363,0.0,0.0,90,1
364,0.0,0.0,91,1
365,0.0,0.0,91,1
366,0.0,0.0,91,1
367,0.0,0.0,91,1
368,0.0,0.0,92,1
369,0.0,0.0,92,1
370,0.0,0.0,92,1
371,0.0,0.0,92,1
372,0.0,0.0,93,1
373,0.0,0.0,93,1
374,0.0,0.0,93,1
375,0.0,0.0,93,1
376,0.0,0.0,94,1
377,0.0,0.0,94,1
378,0.0,0.0,94,1
379,0.0,0.0,94,1
380,0.0,0.0,95,1
381,0.0,0.0,95,1
382,0.0,0.0,95,1
383,0.0,0.0,95,1
384,0.0,0.0,96,1
385,0.0,0.0,96,1
386,0.0,0.0,96,1
387,0.0,0.0,96,1
388,0.0,0.0,97,1
389,0.0,0.0,97,1
390,0.0,0.0,97,1
391,0.0,0.0,97,1
392,0.0,0.0,98,1
393,0.0,0.0,98,1
394,0.0,0.0,98,1
395,0.0,0.0,98,1
396,0.0,0.0,99,1
397,0.0,0.0,99,1
398,0.0,0.0,99,1
399,0.0,0.0,99,1
400,0.0,0.0,100,1
401,0.0,0.0,100,1
402,0.0,0.0,100,1
403,0.0,0.0,100,1
404,0.0,0.0,101,1
405,0.0,0.0,101,1
406,0.0,0.0,101,1
407,0.0,0.0,101,1
408,0.0,0.0,102,1
409,0.0,0.0,102,1
410,0.0,0.0,102,1
411,0.0,0.0,102,1
412,0.0,0.0,103,1
413,0.0,0.0,103,1
414,0.0,2.0,103,1
415,0.0,2.0,103,1
416,0.0,1.5,104,1
417,0.0,1.5,104,1
418,0.0,1.5,104,1
419,0.0,1.0,104,1
420,0.0,1.0,105,1
421,0.0,0.5,105,1
422,0.0,0.0,105,1
423,154.25,0.0,105,1
424,155.25,0.0,106,1
425,155.25,0.0,106,1
426,155.25,0.0,106,1
427,155.25,0.0,106,1
428,155.25,0.0,107,1
429,155.25,0.0,107,1
430,155.25,0.0,107,1
431,155.5,0.0,107,1
432,155.5,0.0,108,1
433,155.25,0.0,108,1
434,155.25,0.0,108,1
435,155.25,0.0,108,1
436,155.25,0.0,109,1
437,155.25,0.0,109,1
438,0.0,0.0,109,1
439,0.0,0.0,109,1
440,0.0,0.0,110,1
441,0.0,0.0,110,1
442,0.0,0.0,110,1
443,0.0,0.0,110,1
444,0.0,0.0,111,1
445,0.0,0.0,111,1
446,0.0,0.0,111,1
447,0.0,0.0,111,1
448,0.0,0.0,112,1
449,0.0,0.0,112,1
450,0.0,0.0,112,1
451,0.0,0.0,112,1
452,0.0,0.0,113,1
453,0.0,0.0,113,1
454,0.0,0.0,113,1
455,0.0,0.0,113,1
